Title,Channel,Views,URL
ROSÉ & Bruno Mars - APT. (Official Music Video),ROSÉ,170645440,https://www.youtube.com/watch?v=ekr2nIex040
MẸ YÊU CON - Nhà TINH HOA (Tiết Mục Nhóm) CHUNG KẾT | ANH TRAI VƯỢT NGÀN CHÔNG GAI 2024,YEAH1 MUSIC,2642167,https://www.youtube.com/watch?v=_lIu6T3Bp2I
MONO - 'Chăm Hoa' (Official Music Video),Mono Official,2656961,https://www.youtube.com/watch?v=WCm2elbTEZQ
JENNIE - Mantra (Official Music Video),JENNIE,66868530,https://www.youtube.com/watch?v=bB3-CUMERIU
Bầu Trời Mới - Da LAB  ft. Minh Tốc & Lam (Official MV),Da LAB Official,7091714,https://www.youtube.com/watch?v=Z1D26z9l8y8
"ĐÂU PHẢI VỢ ANH - Dangrangto khiến khán giả mê đét, nhận về 4 NÓN VÀNG | Rap Việt 2024 [Performance]",Vie Channel - MUSIC,2611355,https://www.youtube.com/watch?v=k48bVMJozHY
"SAY HI NEVER SAY GOODBYE - 30 Anh Trai | Anh Trai ""Say Hi"" Concert 2024",Vie Channel - MUSIC,1422057,https://www.youtube.com/watch?v=0MmOHdJddyE
aespa 에스파 'Whiplash' MV,SMTOWN,44605441,https://www.youtube.com/watch?v=jWQx2f-CErU
GENE x CÓ KHÔNG GIỮ MẤT ĐỪNG TÌM - NHÀ TINH HOA | Chung Kết 1 - ANH TRAI VƯỢT NGÀN CHÔNG GAI 2024,YEAH1 MUSIC,1346662,https://www.youtube.com/watch?v=JGJVVPQCeZg
PHÁP KIỀU - CUNG TÊN TÌNH YÊU  (prod.By Jase) | OFFICIAL MUSIC VIDEO,Pháp Kiều,756349,https://www.youtube.com/watch?v=UamN4zQDgPY
