Title,Channel,Views,URL
"QUA TỪNG KHUNG HÌNH - Robber, NGẮN tạo cơn địa chấn dâng trào cảm xúc | Rap Việt 2024 [Performance]",Vie Channel - MUSIC,2540490,https://www.youtube.com/watch?v=vrcjoqeLeJI
Trúc Nhân | KHÔNG RA GÌ | Official MV,Trúc Nhân,4610530,https://www.youtube.com/watch?v=rRUzJJ9IV4s
HIEUTHUHAI - TRÌNH (prod. by Kewtiie),HIEUTHUHAI,6044903,https://www.youtube.com/watch?v=7kO_ALcwNAw
TRAI HỌ VŨ - GILL rủ ICY Famou$ khuấy động cả khán phòng | Rap Việt 2024 [Performance],Vie Channel - MUSIC,1004549,https://www.youtube.com/watch?v=2oYGm0SUAfc
Quang Hùng MasterD - 'Ngày Trong Xanh' - Official Music Video,Quang Hùng MasterD,1319596,https://www.youtube.com/watch?v=NmO2joWVbGk
"Wxrdie - TIM ANH GHEN (ft. LVK, Dangrangto, TeuYungBoy) [prod. by rev, sleepat6pm]",Wxrdie,1078255,https://www.youtube.com/watch?v=bqocfrCfPw0
ROSÉ & Bruno Mars - APT. (Official Music Video),ROSÉ,396281176,https://www.youtube.com/watch?v=ekr2nIex040
BÌNH GOLD - ĐỈNG [ SAO HẠNG A Dissing ],Bình Gold,1140506,https://www.youtube.com/watch?v=wdIhy4IOe10
MONO - 'Chăm Hoa' (Official Music Video),Mono Official,8314470,https://www.youtube.com/watch?v=WCm2elbTEZQ
"NẾU ANH LÀ EM - Mỹ Linh, Minh Tuyết, Tuimi | Công Diễn 1 - CHỊ ĐẸP ĐẠP GIÓ 2024",YEAH1 MUSIC,592913,https://www.youtube.com/watch?v=DopDUhj-7mE
Wxrdie - TRỞ VỀ (ft. JustaTee) [prod. by Phongkhin],Wxrdie,672865,https://www.youtube.com/watch?v=lV0OOyDUPII
Wxrdie - GET MONEY (ft. Thai VG) [prod. by Marlykid],Wxrdie,638605,https://www.youtube.com/watch?v=f6gzFzLRM0E
"LOVE SOMEBODY - CoolKid, Young Puppy lan toả tình yêu ""socola kẹo mút"" | Rap Việt 2024 [Performance]",Vie Channel - MUSIC,462966,https://www.youtube.com/watch?v=JYeelLhzmvQ
"Sóc Trăng Drill (Cypher) : Jombie ft Đông Tây, Sakhar, Chan lekha, AMAG, Chips & Sinkra",Jombie G5R official,654739,https://www.youtube.com/watch?v=nPVGDIFwZ5s
6262 (prod. Maiki) | Low G | Nhà Hoá Học Đống Đa,Nhà Hóa Học Đống Đa,942629,https://www.youtube.com/watch?v=2nFfVsSy0JU
